quote;date;month;year
Baiona (armoiries) est la première localité européenne à avoir appris, le 1er mars 1493, la découverte de ce que Christophe Colomb considérait comme la route des Indes.;2017-03-01;3;2017
De 1999 à 2007, la population rurale française a augmenté de 9 % quand celle des villes ne progressait que de 4,6 %.;2017-03-01;3;2017
Les mathématiciens Victor D’Hondt (portrait) et André Sainte-Laguë ont conçu des méthodes de scrutin à la proportionnelle largement utilisées.;2017-03-01;3;2017
L’ornithorynque (photo) est l’un des rares mammifères venimeux.;2017-03-02;3;2017
L’article 1 de la constitution de la Chine en fait une « dictature démocratique populaire ».;2017-03-02;3;2017
Modèle du Venezuela chaviste, Simón Bolívar (portrait) était libéral et allié à la puissance britannique, dont il louait le système constitutionnel.;2017-03-02;3;2017
Observé expérimentalement 70 ans après sa description théorique, le condensat de Bose-Einstein est l’un des états de la matière.;2017-03-02;3;2017
Avant de passer dans l’usage courant, « il ne faut pas être plus royaliste que le roi » fut, d’après Chateaubriand, une maxime politique « inventée sous Louis XVI : elle enchaîna les mains des fidèles, pour ne laisser de libre que le bras du bourreau ».;2017-03-03;3;2017
L’un des sujets du tatouage « deviné » par le sâr Rabindranath Duval est celui d’un tableau de 21,35 mètres de long (reproduction).;2017-03-03;3;2017
Au Portugal, la détention et l’usage de briquets nécessitaient une licence de 1937 à 1970.;2017-03-03;3;2017
À Lima, l’hôpital Santo Toribio de Mogrovejo conserve une collection de près de 3 000 cerveaux (photo) de patients décédés de lésions cérébrales ou de maladies du système nerveux, dont quelque 10 % sont exposés au public.;2017-03-03;3;2017
Le premier  Africain médaillé olympique est l’indigène musulman d’Algérie Boughéra El Ouafi (photo), vainqueur du marathon lors des Jeux d’Amsterdam, en 1928.;2017-03-04;3;2017
En France, la dernière « rue du Maréchal-Pétain » a été débaptisée en 2013, et elles sont encore plusieurs, ainsi qu’un sommet, à porter ce nom en Amérique du Nord.;2017-03-04;3;2017
En France, 50 % à 75 % des pelouses sèches (photo) ont disparu au cours du XXe siècle, selon la Fédération des conservatoires d’espaces naturels.;2017-03-04;3;2017
Aux États-Unis, les Schtroumpfs noirs sont devenus violets.;2017-03-04;3;2017
